#{"t_start": 1586816375.1067731, "env_id": "JacoGazebo-v1"}
r,l,t
-18.996053,50,109.989882
-19.376435,50,219.38459
-20.172281,50,328.937843
-23.008945,50,438.182213
-21.550717,50,547.6848
-25.742778,50,657.40392
-23.153775,50,766.955088
-25.658316,50,878.879464
-21.839518,50,988.483982
-25.138193,50,1098.178804
-21.971283,50,1207.639376
-20.908887,50,1317.051796
-20.81045,50,1426.299765
-22.848472,50,1535.863242
-24.261402,50,1646.272862
-21.498365,50,1755.89494
-23.671244,50,1865.271934
-22.648901,50,1974.852726
-23.239587,50,2084.195916
-19.593177,50,2193.460366
-23.118867,50,2302.501493
-17.918491,50,2412.119111
-17.4642,50,2521.221555
-20.705948,50,2630.831264
-18.793045,50,2740.41784
-25.436676,50,2849.901122
-37.986169,50,2976.913006
-31.402249,50,3101.566402
-24.035846,50,3211.523689
-23.057524,50,3321.034258
-22.178059,50,3430.409426
-23.722934,50,3539.904567
-23.992563,50,3648.920175
-17.288572,50,3758.415415
-22.930428,50,3867.89015
-23.868252,50,3977.744854
-28.232939,50,4087.111951
-26.990909,50,4198.067699
-26.813837,50,4306.724529
-26.05203,50,4415.847832
-19.053272,50,4526.749739
-28.202788,50,4636.360938
-25.653181,50,4746.43348
-20.996524,50,4855.618109
-24.493351,50,4964.60209
-21.760027,50,5074.482255
-21.834041,50,5183.591085
-24.844217,50,5293.157023
-19.901135,50,5402.881012
-26.615884,50,5512.251575
-25.567719,50,5621.808092
-21.542247,50,5731.480459
-20.182096,50,5840.825166
-21.366532,50,5950.162445
-18.054784,50,6059.631322
-19.951524,50,6169.154918
-26.939216,50,6279.078634
-24.015575,50,6389.133423
-23.486815,50,6498.653254
-22.437845,50,6608.339459
-18.710968,50,6718.224003
-17.507511,50,6827.273649
-26.070969,50,6936.587932
-19.497166,50,7045.935572
-21.500165,50,7155.158221
-18.738545,50,7264.551315
-24.467902,50,7375.14345
-21.643124,50,7484.873879
-16.663954,50,7594.308044
