#{"env_id": "JacoGazebo-v1", "t_start": 1587122212.02228}
r,l,t
-20.541406,50,40.71231
-17.364391,50,80.395008
-18.309629,50,119.055907
-18.703764,50,158.363757
-19.14269,50,198.026166
-21.263626,50,237.188305
-22.734752,50,275.817678
-22.166586,50,314.414553
-18.84887,50,354.278075
-21.406552,50,393.635121
-20.398976,50,432.066885
-21.675457,50,470.681992
-15.89033,50,509.310269
-22.126359,50,547.912583
-21.649835,50,587.212225
-20.743079,50,626.338382
-25.33397,50,665.035006
-18.911797,50,704.770093
-24.759969,50,744.363888
-17.920192,50,784.566975
-24.105355,50,824.77523
-17.791429,50,864.706955
-25.479493,50,904.487004
-26.270379,50,945.916877
-20.847307,50,986.080105
-24.348335,50,1025.998558
-18.478057,50,1065.875086
-27.758642,50,1107.044531
-21.135193,50,1146.696904
-22.699493,50,1187.469549
-33.967322,50,1227.389993
-26.563682,50,1266.798059
-22.596205,50,1308.334523
-35.393471,50,1348.043491
-31.148577,50,1388.025059
-23.890764,50,1427.498686
-26.972233,50,1467.965308
-21.58647,50,1508.279134
-19.151005,50,1547.667144
-18.338529,50,1588.272346
-29.6159,50,1628.102239
-25.849232,50,1667.403595
-26.916145,50,1707.844081
-19.448912,50,1748.044395
-27.773759,50,1786.463359
-22.003072,50,1825.960958
-33.627698,50,1866.462981
-33.62396,50,1905.472223
-21.000389,50,1945.587325
-26.068773,50,1986.093529
-26.933147,50,2026.433901
-17.688722,50,2065.610893
-19.880014,50,2104.665446
-21.564294,50,2145.520778
-30.172268,50,2185.733037
-28.82008,50,2226.142202
-25.075849,50,2266.684002
-30.424444,50,2306.52546
-23.896001,50,2345.231369
-19.60028,50,2384.257851
-23.462558,50,2423.274621
-15.238168,50,2462.528483
-19.78536,50,2502.452611
-18.34699,50,2542.903823
-20.669248,50,2582.143794
-34.180552,50,2621.625231
-20.982929,50,2660.653661
-18.358118,50,2700.007095
-16.686471,50,2739.185481
-21.208427,50,2777.896879
-30.21925,50,2817.221748
-29.308974,50,2855.834815
-26.168979,50,2895.760809
-21.069401,50,2935.799609
-33.177569,50,2974.293696
-18.635296,50,3013.616765
-20.104348,50,3053.857757
